id,entity_type,company_name,legal_name,official_url,github_url,linkedin_url,crunchbase_url,country,headquarters,industry,company_type,ai_focus,products,status,active,source_name,source_url,website_status,logo_status,quality_score,updated_at
company:gh:openai,COMPANY,openai,,,https://github.com/openai,,,,,Artificial Intelligence,AI Research Company,,,ACTIVE,True,GitHub Organizations API,https://api.github.com/search/users?q=type%3Aorg+ai+in%3Alogin%2Cname%2Cdescription,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:34:31.651466+00:00
company:gh:stability-ai,COMPANY,Stability-AI,,,https://github.com/stability-ai,,,,,Artificial Intelligence,AI Software Company,,,ACTIVE,True,GitHub Organizations API,https://api.github.com/search/users?q=type%3Aorg+ai+in%3Alogin%2Cname%2Cdescription,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:34:31.651466+00:00
company:gh:dair-ai,COMPANY,dair-ai,,,https://github.com/dair-ai,,,,,Artificial Intelligence,AI Software Company,,,ACTIVE,True,GitHub Organizations API,https://api.github.com/search/users?q=type%3Aorg+ai+in%3Alogin%2Cname%2Cdescription,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:34:31.651466+00:00
company:gh:moonshotai,COMPANY,MoonshotAI,,,https://github.com/moonshotai,,,,,Artificial Intelligence,AI Software Company,,,ACTIVE,True,GitHub Organizations API,https://api.github.com/search/users?q=type%3Aorg+ai+in%3Alogin%2Cname%2Cdescription,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:34:31.651466+00:00
company:gh:mistralai,COMPANY,mistralai,,,https://github.com/mistralai,,,,,Artificial Intelligence,AI Software Company,,,ACTIVE,True,GitHub Organizations API,https://api.github.com/search/users?q=type%3Aorg+ai+in%3Alogin%2Cname%2Cdescription,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:34:31.651466+00:00
company:gh:optimainetwork,COMPANY,OptimaiNetwork,,,https://github.com/optimainetwork,,,,,Artificial Intelligence,AI Software Company,,,ACTIVE,True,GitHub Organizations API,https://api.github.com/search/users?q=type%3Aorg+ai+in%3Alogin%2Cname%2Cdescription,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:34:31.651466+00:00
company:gh:lightning-ai,COMPANY,Lightning-AI,,,https://github.com/lightning-ai,,,,,Artificial Intelligence,AI Software Company,,,ACTIVE,True,GitHub Organizations API,https://api.github.com/search/users?q=type%3Aorg+ai+in%3Alogin%2Cname%2Cdescription,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:34:31.651466+00:00
company:gh:ai4finance-foundation,COMPANY,AI4Finance-Foundation,,,https://github.com/ai4finance-foundation,,,,,Artificial Intelligence,AI Research Company,,,ACTIVE,True,GitHub Organizations API,https://api.github.com/search/users?q=type%3Aorg+ai+in%3Alogin%2Cname%2Cdescription,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:34:31.651466+00:00
company:gh:zai-org,COMPANY,zai-org,,,https://github.com/zai-org,,,,,Artificial Intelligence,AI Software Company,,,ACTIVE,True,GitHub Organizations API,https://api.github.com/search/users?q=type%3Aorg+ai+in%3Alogin%2Cname%2Cdescription,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:34:31.651466+00:00
company:gh:airbnb,COMPANY,airbnb,,,https://github.com/airbnb,,,,,Artificial Intelligence,AI Software Company,,,ACTIVE,True,GitHub Organizations API,https://api.github.com/search/users?q=type%3Aorg+ai+in%3Alogin%2Cname%2Cdescription,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.7,2026-09-17T11:34:31.651466+00:00
