id,entity_type,name,description,official_url,logo,manufacturer,categories,device_type,physical_form,processor,memory_storage,connectivity,operating_system,api_sdk,open_source,commercial_status,source_name,source_url,website_status,logo_status,quality_score,updated_at
device:bytedance/ui-tars-desktop,device,UI-TARS-desktop,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,https://agent-tars.com,,bytedance,"Devices, AI Hardware, Edge AI",AI Workstation,Standalone Appliance,,,,,,True,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638414+00:00
device:alibaba/mnn,device,MNN,"MNN: A blazing-fast, lightweight inference engine battle-tested by Alibaba, powering high-performance on-device LLMs and Edge AI.",,,alibaba,"Devices, AI Hardware, Edge AI",AI Wearable,Smart Wearable,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:kaixxx/noscribe,device,noScribe,Cutting edge AI technology for automated audio transcription. A nice GUI for OpenAIs Whisper and pyannote (speaker identification),,,kaixxx,"Devices, AI Hardware, Edge AI",AI Accelerator / Edge Dev Kit,Single Board Computer,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:yomorun/yomo,device,yomo,🦖 Serverless AI Agent Framework with Geo-distributed Edge AI Infra.,https://yomo.run,,yomorun,"Devices, AI Hardware, Edge AI",AI Workstation,Standalone Appliance,,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:sipeed/maixpy-v1,device,MaixPy-v1,"MicroPython for K210 RISC-V, let's play with edge AI easier",https://wiki.sipeed.com/maixpy,,sipeed,"Devices, AI Hardware, Edge AI",AI Accelerator / Edge Dev Kit,Single Board Computer,,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:cosmo-wander-ai/cosmo-edge,device,cosmo-edge,"Production-grade C++ edge AI engine for video analytics and on-device VLM across Sophon, Rockchip RKNN, and x86, with visual orchestration, real-time OSD, events, and reproducible benchmarks.",https://cosmowander.ai,,cosmo-wander-ai,"Devices, AI Hardware, Edge AI",AI Accelerator / Edge Dev Kit,Single Board Computer,,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:omnimind-ai/omniinfer,device,OmniInfer,"Unified, efficient, and easy-to-use inference infrastructure for edge AI || 面向端侧 AI 的统一、高效、易用的推理基础设施",,,omnimind-ai,"Devices, AI Hardware, Edge AI",AI Accelerator / Edge Dev Kit,Single Board Computer,,,,,,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:google/sec-gemini,device,sec-gemini,Sec-Gemini  is a cutting-edge AI model designed to enhance cybersecurity capabilities and empower defenders in the ongoing battle against cyber threats.,https://secgemini.google,,google,"Devices, AI Hardware, Edge AI",AI Accelerator / Edge Dev Kit,Single Board Computer,,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:georetina/chat2geo,device,chat2geo,"Chat2Geo delivers a ChatGPT-like experience tailored for remote-sensing-based geospatial analysis. Its mission is to democratize geospatial insights at scale by harnessing cutting-edge AI technologies, making advanced analysis accessible to everyone.",https://georetina.com,,GeoRetina,"Devices, AI Hardware, Edge AI",AI Accelerator / Edge Dev Kit,Single Board Computer,,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
device:ankur-anand/unisondb,device,unisondb,"A streaming multimodal database for Edge AI, and Edge Computing.",https://unisondb.io,,ankur-anand,"Devices, AI Hardware, Edge AI",AI Accelerator / Edge Dev Kit,Single Board Computer,,,,,,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T11:05:23.638966+00:00
