id,entity_type,title,canonical_title,source_name,source_domain,canonical_url,published_at,author,summary,categories,entities,language,article_type,status,event_cluster_id,retrieved_at
news:68b12eb059a981b4,news,Making AI-Assisted Claims Independently Challengeable: Publication Authority and a Protocol for Falsifiable Publication Records,Making AI-Assisted Claims Independently Challengeable: Publication Authority and a Protocol for Falsifiable Publication Records,arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17631,2026-09-17T04:00:00Z,"Torsten Olivi Tiltack, Yifei Dong, Kun Yu, Xu Wang, Wei Liu, Jianlong Zhou, Ren Ping Liu, Fang Chen","arXiv:2609.17631v1 Announce Type: new Abstract: AI-assisted claims can appear authoritative when evidence, analysis, human authorization, presentation, and correction history refer to different states. Provenance, attestation, and transparency expose history but alone do not specify the publication transition examined here. We develop Publication Authority as an exact-state, non-transferable, single-use publication capability and instantiate it in PAC-2026 (Publication-Accountability Calculus), ",Research; Policy & Security,,en,NEWS_ARTICLE,QUALIFIED,cluster:ev-001,2026-09-17T12:37:16.330173Z
news:6742b2bcdb96ecc4,news,EvolveTrade: Experience-Driven Policy Refinement for Self-Evolving LLM Trading Agents,EvolveTrade: Experience-Driven Policy Refinement for Self-Evolving LLM Trading Agents,arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17632,2026-09-17T04:00:00Z,"Sehee Kim, Yumin Choi, Minki Kang, Sung Ju Hwang","arXiv:2609.17632v1 Announce Type: new Abstract: Large language model (LLM) trading agents can combine market data, news, and executable analysis, but their behavior is often controlled by static hand-written tool-use policies that are fixed before deployment. This limits their ability to adapt how they gather evidence, invoke tools, verify signals, and manage risk under changing market regimes. We introduce EvolveTrade, a self-evolving framework that treats the system prompt of a tool-using trad",AI Models; Generative AI; Agents; Developer Tools; Research; Policy & Security,,en,NEWS_ARTICLE,QUALIFIED,cluster:ev-002,2026-09-17T12:37:16.333186Z
news:4d252ecda5479165,news,One Color Preprocessing Improves DSATUR,One Color Preprocessing Improves DSATUR,arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17633,2026-09-17T04:00:00Z,"Adam Nouira, Lucas Isenmann","arXiv:2609.17633v1 Announce Type: new Abstract: The Graph Coloring Problem (GCP) is NP-hard and DSATUR stands as one of the fastest heuristics for it despite producing colorings that typically use more colors than state-of-the-art coloring algorithms. We propose SSLD (Semidefinite Spectral Learning with DSATUR), which improves DSATUR by preprocessing a first good color class before letting DSATUR complete coloring the rest of the given graph. We obtain this color class from a Semidefinite Progra",Research,,en,NEWS_ARTICLE,QUALIFIED,cluster:ev-003,2026-09-17T12:37:16.337136Z
news:6021753d5a9640b4,news,Physics-Constrained Digital Twins for Sensor Integrity in Urban Pedestrian Flow: Detecting Stealthy False Data Injection with Conformal Guarantees,Physics-Constrained Digital Twins for Sensor Integrity in Urban Pedestrian Flow: Detecting Stealthy False Data Injection with Conformal Guarantees,arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17635,2026-09-17T04:00:00Z,"Oscar Mogollon Gutierrez, Fatemeh Ghasemi, Mohammadhossein Homaei, Andres Caro, Mar Avila","arXiv:2609.17635v1 Announce Type: new Abstract: City pedestrian counting systems now feed economic indicators, planning decisions and safety operations, yet the twins built on top of them treat the incoming stream as ground truth. We study what happens when it is not. We formalise stealthy false data injection for city-scale pedestrian sensing, where the map from latent flow to observation is far more rank deficient than in the power and water networks for which stealth has been characterised. O",Research; Policy & Security,,en,NEWS_ARTICLE,QUALIFIED,cluster:ev-004,2026-09-17T12:37:16.341132Z
news:ce7eba46eeacd0b8,news,What You Can't See Is Still What You Learn: A Preregistered Sixty-Society Confirmation That Evidence Masking Drives Compositional Generalization,What You Can't See Is Still What You Learn: A Preregistered Sixty-Society Confirmation That Evidence Masking Drives Compositional Generalization,arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17637,2026-09-17T04:00:00Z,Narcis Marincat,"arXiv:2609.17637v1 Announce Type: new Abstract: Restricting what a module can read may improve what a system learns to compute. We test this in a preregistered confirmation with sixty four-cell systems sharing a frozen language-model backbone and communicating through learned continuous packets. Five conditions vary evidence masking, ownership markers, and replacement of foreign evidence with neutral filler, across six initialization clusters, each with two data orders, on one fresh task world. ",AI Models; Research,,en,NEWS_ARTICLE,QUALIFIED,cluster:ev-005,2026-09-17T12:37:16.344131Z
news:8f8a81fbbd157f85,news,CapMem: A Benchmark for Caption-Based Episodic Memory in Egocentric Video,CapMem: A Benchmark for Caption-Based Episodic Memory in Egocentric Video,arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17688,2026-09-17T04:00:00Z,"Dingli Liang, Yiqiao Xie, Yukai Huang, Zhaokai Wang, Weitong Cai, Guangwen Feng, Jifei Song, Zhensong Zhang, Hang Zhang","arXiv:2609.17688v1 Announce Type: new Abstract: Wearable assistants require episodic memory over egocentric video, yet current vision-language models face bounded frame budgets, growing visual-token costs, and long-context retrieval failures. Under these practical constraints, we study whether textual captions can serve as reusable episodic memory. We define the Episodic Memory Video Caption QA task and introduce CapMem, a human-annotated benchmark with 75 videos totaling 33.7 hours, and 1,000 m",Agents; Research,,en,NEWS_ARTICLE,QUALIFIED,cluster:ev-006,2026-09-17T12:37:16.346130Z
news:a8dcc4b3bd3007d8,news,GraphEcho: Structural Redundancy and Evidence Provenance in LLM Graph Agents,GraphEcho: Structural Redundancy and Evidence Provenance in LLM Graph Agents,arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17695,2026-09-17T04:00:00Z,"Sikun Wang, Yixi Zhou, Lei Fan, Fan Zhang","arXiv:2609.17695v1 Announce Type: new Abstract: A large language model (LLM) agent can follow more graph paths without acquiring more independent evidence. GraphEcho tests whether agents mistake these repeated encounters for additional corroboration. The benchmark varies path counts and evidential origins while holding evidence content fixed, and evaluates both judgments and active exploration. Controlled synthetic experiments reveal model-dependent judgment shifts, but redundant supporting path",AI Models; Agents; Research,,en,NEWS_ARTICLE,QUALIFIED,cluster:ev-007,2026-09-17T12:37:16.348129Z
news:aee3d416d5aafcf8,news,GVD: Governed Versioning and Deduplication for Document Repositories,GVD: Governed Versioning and Deduplication for Document Repositories,arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17696,2026-09-17T04:00:00Z,"Mohammadreza Sediqin, Shivali Dalmia, Sumukha Thoppanahalli, Abhishek Mukherji","arXiv:2609.17696v1 Announce Type: new Abstract: Document repositories evolve continuously. Guidelines and policies are revised, superseded, and re-uploaded, so the same content recurs in different wording and newer versions refine or contradict earlier ones. These inconsistencies belong to the growing collection rather than to any single document, yet existing work treats versioning, duplicate detection, and contradiction detection as isolated pairwise tasks and stops once a pair is labeled. We ",AI Models; Developer Tools; Research; Policy & Security,,en,NEWS_ARTICLE,QUALIFIED,cluster:ev-008,2026-09-17T12:37:16.352138Z
news:0b226d68692a23fb,news,NeMo Data Designer: An Extensible Framework for Multimodal Synthetic Data Generation,NeMo Data Designer: An Extensible Framework for Multimodal Synthetic Data Generation,arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17699,2026-09-17T04:00:00Z,"Johnny Greco, Nabin Mulepati, Andre Manoel, Eric Tramel, Kirit Thadaka, Mike Knepper, Dhruv Nathawani, Dane Corneil, Yev Meyer, Alex Watson, Maarten Van Segbroeck","arXiv:2609.17699v1 Announce Type: new Abstract: We present NeMo Data Designer (NDD), an open-source, general-purpose framework for multi-modal synthetic data generation (SDG). Designed to be intuitive to use, NDD provides a declarative configuration format in which human and/or agent users define each dataset column, with column types spanning text, code, structured outputs, images, embeddings, and statistical samplers that are explicitly configured to steer dataset diversity. Additional column ",AI Models; Generative AI; Agents; Developer Tools; Research,,en,NEWS_ARTICLE,QUALIFIED,cluster:ev-009,2026-09-17T12:37:16.358144Z
news:804626f9b39a8685,news,"A Systematic Evaluation of the COTQ Provincial Land Cover Product: Structural Consistency, Spectral Separability, and Relative Positioning Against ESA, ESRI, and Google Products","A Systematic Evaluation of the COTQ Provincial Land Cover Product: Structural Consistency, Spectral Separability, and Relative Positioning Against ESA, ESRI, and Google Products",arXiv Computer Science - Artificial Intelligence,arxiv.org,https://arxiv.org/abs/2609.17731,2026-09-17T04:00:00Z,"\'Etienne Clabaut, Samuel Foucher, Yacine Bouroubi","arXiv:2609.17731v1 Announce Type: new Abstract: High-resolution land use and land cover (LULC) products derived from Sentinel-2 imagery are widely used for environmental monitoring and land management, yet their performance can vary across regions with complex ecological gradients and heterogeneous surface conditions. In Quebec, these limitations motivated the development of a provincial 10-m land-cover product, the COTQ, designed to support annual monitoring of land occupation and soil artifici",Research; Companies,Google,en,NEWS_ARTICLE,QUALIFIED,cluster:ev-010,2026-09-17T12:37:16.366784Z
