Record ID,Device Name,Description,Manufacturer,Device Type,Physical Form,Processor / NPU,Memory / Storage,Official Website,Source,Source URL,Website Verified
device:bytedance/ui-tars-desktop,UI-TARS-desktop,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,bytedance,AI Workstation,Standalone Appliance,,,https://agent-tars.com,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,False
device:alibaba/mnn,MNN,"MNN: A blazing-fast, lightweight inference engine battle-tested by Alibaba, powering high-performance on-device LLMs and Edge AI.",alibaba,AI Wearable,Smart Wearable,,,https://github.com/alibaba/MNN,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,False
device:kaixxx/noscribe,noScribe,Cutting edge AI technology for automated audio transcription. A nice GUI for OpenAIs Whisper and pyannote (speaker identification),kaixxx,AI Accelerator / Edge Dev Kit,Single Board Computer,,,https://github.com/kaixxx/noScribe,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,False
device:yomorun/yomo,yomo,🦖 Serverless AI Agent Framework with Geo-distributed Edge AI Infra.,yomorun,AI Workstation,Standalone Appliance,,,https://yomo.run,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,False
device:sipeed/maixpy-v1,MaixPy-v1,"MicroPython for K210 RISC-V, let's play with edge AI easier",sipeed,AI Accelerator / Edge Dev Kit,Single Board Computer,,,https://wiki.sipeed.com/maixpy,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,False
device:cosmo-wander-ai/cosmo-edge,cosmo-edge,"Production-grade C++ edge AI engine for video analytics and on-device VLM across Sophon, Rockchip RKNN, and x86, with visual orchestration, real-time OSD, events, and reproducible benchmarks.",cosmo-wander-ai,AI Accelerator / Edge Dev Kit,Single Board Computer,,,https://cosmowander.ai,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,False
device:omnimind-ai/omniinfer,OmniInfer,"Unified, efficient, and easy-to-use inference infrastructure for edge AI || 面向端侧 AI 的统一、高效、易用的推理基础设施",omnimind-ai,AI Accelerator / Edge Dev Kit,Single Board Computer,,,https://github.com/omnimind-ai/OmniInfer,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,False
device:google/sec-gemini,sec-gemini,Sec-Gemini  is a cutting-edge AI model designed to enhance cybersecurity capabilities and empower defenders in the ongoing battle against cyber threats.,google,AI Accelerator / Edge Dev Kit,Single Board Computer,,,https://secgemini.google,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,False
device:georetina/chat2geo,chat2geo,"Chat2Geo delivers a ChatGPT-like experience tailored for remote-sensing-based geospatial analysis. Its mission is to democratize geospatial insights at scale by harnessing cutting-edge AI technologies, making advanced analysis accessible to everyone.",GeoRetina,AI Accelerator / Edge Dev Kit,Single Board Computer,,,https://georetina.com,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,False
device:ankur-anand/unisondb,unisondb,"A streaming multimodal database for Edge AI, and Edge Computing.",ankur-anand,AI Accelerator / Edge Dev Kit,Single Board Computer,,,https://unisondb.io,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=%22edge+ai%22+in%3Aname%2Cdescription+stars%3A%3E5,False
