Record ID,Model Name,Description,Provider / Organization,Model Family,Parameter Size,Modality,License,Source,Source URL,Website Verified
model:hf:stealth--union-alpha,Union Alpha,"Union Alpha is a multimodal model built for research, coding, and agentic workflows, while delivering frontier-level performance across a broad range of general-purpose tasks. Union Alpha is a stealth model....",Stealth,,,text | image,,OpenRouter API,https://openrouter.ai/api/v1/models,False
model:hf:~deepseek--deepseek-pro-latest,DeepSeek: DeepSeek Pro Latest,This model always redirects to the latest model in the DeepSeek Pro family.,~deepseek,DeepSeek,,text,,OpenRouter API,https://openrouter.ai/api/v1/models,False
model:hf:~deepseek--deepseek-flash-latest,DeepSeek: DeepSeek Flash Latest,This model always redirects to the latest model in the DeepSeek Flash family.,~deepseek,DeepSeek,,text | image,,OpenRouter API,https://openrouter.ai/api/v1/models,False
model:hf:inference-net--schematron-v2-turbo,Inference.net: Schematron V2 Turbo,Schematron V2 Turbo is a 3B-parameter HTML-to-JSON extraction model from Inference.net. It prioritizes throughput for high-volume extraction workloads. Extraction instructions must be supplied through a JSON schema in response_format rather...,Inference-net,,,text,,OpenRouter API,https://openrouter.ai/api/v1/models,False
model:hf:inference-net--schematron-v2-small,Inference.net: Schematron V2 Small,Schematron V2 Small is a 3B-parameter HTML-to-JSON extraction model from Inference.net. It prioritizes extraction quality for complex schemas and long pages. Extraction instructions must be supplied through a JSON schema...,Inference-net,,,text,,OpenRouter API,https://openrouter.ai/api/v1/models,False
model:hf:~openai--gpt-astra-latest,OpenAI: GPT Astra Latest,This model always redirects to the latest model in the GPT Astra family.,~openai,GPT,,text | image,,OpenRouter API,https://openrouter.ai/api/v1/models,False
model:hf:~openai--gpt-sol-latest,OpenAI: GPT Sol Latest,This model always redirects to the latest model in the GPT Sol family.,~openai,GPT,,text | image,,OpenRouter API,https://openrouter.ai/api/v1/models,False
model:hf:~openai--gpt-terra-latest,OpenAI: GPT Terra Latest,This model always redirects to the latest model in the GPT Terra family.,~openai,GPT,,text | image,,OpenRouter API,https://openrouter.ai/api/v1/models,False
model:hf:~openai--gpt-luna-latest,OpenAI: GPT Luna Latest,This model always redirects to the latest model in the GPT Luna family.,~openai,GPT,,text | image,,OpenRouter API,https://openrouter.ai/api/v1/models,False
model:hf:sakana--fugu-ultra-v2,Sakana: Fugu Ultra v2,"Fugu Ultra v2 is the higher-performance model in Sakana AI's Fugu family. Rather than a single monolithic model, Fugu is a learned multi-agent orchestration system: a language model trained to...",Sakana,,,text | image,,OpenRouter API,https://openrouter.ai/api/v1/models,False
