id,entity_type,name,description,official_url,repository_url,manufacturer,robot_type,physical_form,capabilities,payload,mobility,weight,operating_system,open_source,commercial_status,source_name,source_url,website_status,logo_status,quality_score,updated_at
robot:em0sh/ondroid,robot,ondroid,"Design a full DOF humanoid robot for research use incrementally, halving the cost until the BOM is $1000.",https://ondroid.ai,https://github.com/em0sh/ondroid,em0sh,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.879982+00:00
robot:renkunzhao/legged-daily,robot,legged-daily,"A research-oriented collection of code, papers, and resources for legged robotics and model- and learning-based control.",,https://github.com/renkunzhao/legged-daily,Renkunzhao,Humanoid Robot,Bipedal Humanoid,quadrupedal_locomotion,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:17:56.879982+00:00
robot:igor-lirussi/capabot-sanbot-robot,robot,CapaBot-SanBot-Robot,"it gives SanBot Robot social capabilities: recognize people, interact on open dialog with: SpeechRecognition+DialogEngine+SpeechSynthesis, Present itself, Project a Story, Shake Hands, Tell weather. An activity sends the robot back to the charging station if low on battery. ",,https://github.com/igor-lirussi/capabot-sanbot-robot,igor-lirussi,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:antbono/oan,robot,OAN,Open Access NAO (OAN). A  ROS2 framework for HRI studies with NAO v6,,https://github.com/antbono/oan,antbono,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:michaelmarav/lcd,robot,lcd,Legged Contact Detection (LCD): A deep learning approach for Contact Estimation of Legged Robots using inertial and F/T measurements,,https://github.com/michaelmarav/lcd,MichaelMarav,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:knowledgetechnologyuhh/nico-software,robot,NICO-software,Software to run the NICO (Neuro Inspired COmpanion) robot,,https://github.com/knowledgetechnologyuhh/nico-software,knowledgetechnologyuhh,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:ihmcrobotics/scs2,robot,scs2,"Graphical user interface for visualizing control variables from either a server, a log file, or a simulation.",,https://github.com/ihmcrobotics/scs2,ihmcrobotics,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:hi-tech-ai/thimble-game-bot,robot,Thimble-Game-Bot,Human-Like Thimble Betting Game Bot,https://1xbet.com/es/allgamesentrance/thimbles,https://github.com/hi-tech-ai/thimble-game-bot,hi-tech-AI,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Commercial Product,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
robot:ami-iit/paper_nava_2023_icra_fault-control-ironcub,robot,paper_nava_2023_icra_fault-control-ironcub,"Repository associated with the paper ""Failure Detection and Fault Tolerant Control of a Jet-Powered Flying Humanoid Robot"", published in IEEE ICRA 2023.",,https://github.com/ami-iit/paper_nava_2023_icra_fault-control-ironcub,ami-iit,Humanoid Robot,Bipedal Humanoid,autonomous_navigation,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:17:56.880514+00:00
robot:jewel-nath/robot-sheena,robot,robot-sheena,Arduino based humanoid robot.,,https://github.com/jewel-nath/robot-sheena,jewel-nath,Humanoid Robot,Bipedal Humanoid,,,,,ROS / Linux,True,Research Platform,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,0.9,2026-09-17T12:17:56.880514+00:00
